@RELATION data/79New.ckpt
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {7,9}

@DATA
0.079575,0.017025,3.110006,0.166331,0.174784,0.847057,0.001416,0.167927,-23.077933,1.974649,-0.037704,-0.250985,0.005721,0.083950,-0.108068,0.261301,-0.053354,-0.141688,0.049598,0.285643,-0.020558,0.008706,0.007134,0.033221,0.008282,0.020730,0.013327,0.061285,0.004267,0.010672,0.010207,0.040603,0.003744,0.021481,0.010530,0.003655,0.071953,0.009944,0.010978,0.126510,0.000315,0.039606,0.167603,0.118599,0.165516,0.133858,0.130409,0.147328,0.117688,0.131925,0.124197,0.141198,0.115100,0.117757,0.107278,0.004136,0.004242,0.018598,0.004636,0.009336,0.008750,0.030908,0.003879,0.005380,0.006388,0.014714,0.002489,0.007683,7
0.070707,0.018532,3.136073,0.157318,0.169239,0.765255,0.002206,0.147948,-23.070841,1.912395,-0.054352,-0.121879,0.022211,0.242559,-0.106888,0.244781,-0.050492,-0.132937,0.153873,0.245030,-0.040590,0.006797,0.005849,0.033117,0.007840,0.015884,0.013802,0.083156,0.004140,0.008159,0.009376,0.049024,0.003568,0.028388,0.014080,0.005182,0.078696,0.016103,0.012178,0.206254,0.000867,0.054655,0.245423,0.144790,0.167428,0.174264,0.160467,0.130732,0.147273,0.133647,0.124562,0.147953,0.120072,0.118881,0.116573,0.004156,0.003971,0.019589,0.004223,0.008455,0.008729,0.053215,0.003328,0.005060,0.006253,0.028794,0.002457,0.013156,7
0.200068,0.029339,3.202430,0.196186,0.139265,1.809136,0.000625,0.293708,-23.024899,0.616982,-0.126045,0.512341,0.155226,0.198788,0.152213,0.191450,0.017529,-0.293347,0.141020,-0.097994,-0.384298,0.005143,0.002509,0.006788,0.004201,0.006570,0.002702,0.015350,0.002080,0.002050,0.003554,0.005868,0.002181,0.003998,0.009241,0.003760,0.054113,0.006768,0.002660,0.065481,0.000110,0.007203,0.361318,0.210534,0.152086,0.258949,0.113114,0.102011,0.110680,0.125282,0.104070,0.121515,0.094820,0.102265,0.108145,0.001968,0.000775,0.002559,0.001487,0.003018,0.000767,0.006119,0.000790,0.000903,0.001980,0.001932,0.001277,0.001393,7
0.188732,0.018804,3.215974,0.190192,0.135687,1.806551,0.000693,0.292042,-23.746666,0.598726,-0.023588,0.368930,0.196499,0.210533,0.199190,0.170026,0.069231,-0.139298,0.116556,-0.164020,-0.369343,0.004208,0.003451,0.009408,0.003565,0.006161,0.003050,0.019635,0.001991,0.002638,0.004351,0.006514,0.002094,0.005093,0.012862,0.004726,0.088180,0.010675,0.006313,0.101870,0.000125,0.012900,0.558907,0.185410,0.242718,0.281565,0.095605,0.133448,0.102356,0.161201,0.119157,0.126909,0.117911,0.091420,0.072910,0.001544,0.001446,0.002672,0.001589,0.002295,0.001381,0.006242,0.001222,0.001459,0.001643,0.001995,0.001109,0.001508,7
0.205535,0.032471,3.246331,0.204044,0.142598,1.880431,0.000533,0.309962,-23.119850,0.409007,0.004890,0.304439,0.078538,0.242637,0.377562,0.257030,0.142349,-0.076133,0.225664,-0.225970,-0.339016,0.002996,0.002921,0.007552,0.002845,0.005856,0.002671,0.017189,0.001279,0.001500,0.002728,0.003961,0.001908,0.004542,0.008004,0.004396,0.040065,0.006083,0.006563,0.053710,0.000174,0.005126,0.435665,0.129855,0.239795,0.273990,0.162962,0.188592,0.151185,0.122313,0.089372,0.198554,0.101978,0.163859,0.164571,0.001110,0.001015,0.003512,0.000991,0.002604,0.000778,0.004585,0.000993,0.000838,0.001273,0.001138,0.000759,0.000992,7
0.181807,0.023522,3.202772,0.191227,0.144192,1.713771,0.000635,0.294965,-23.233993,0.561761,-0.190846,0.422773,0.058743,0.144743,0.303194,0.189909,0.130653,-0.212694,0.075411,-0.147304,-0.323600,0.004148,0.003315,0.019267,0.004735,0.006680,0.003093,0.032893,0.002074,0.001714,0.003069,0.005382,0.002205,0.009800,0.017422,0.004366,0.061909,0.010294,0.006024,0.142426,0.000123,0.012852,0.405974,0.180592,0.136351,0.287761,0.135397,0.143735,0.155024,0.160079,0.155331,0.153974,0.161130,0.113247,0.091500,0.001680,0.001448,0.013016,0.001529,0.002783,0.001390,0.020108,0.000937,0.000817,0.001355,0.003123,0.000983,0.005585,7
0.188732,0.023343,3.203680,0.192253,0.139566,1.815998,0.000632,0.296823,-23.322852,0.520520,-0.048006,0.505776,0.123582,0.195261,0.231921,0.108546,0.073761,-0.226933,0.155072,-0.209894,-0.389012,0.004399,0.003583,0.007372,0.003885,0.006403,0.002520,0.017960,0.001697,0.002132,0.003185,0.005311,0.002757,0.004684,0.007351,0.003998,0.071913,0.006214,0.006552,0.085055,0.000097,0.008593,0.469245,0.156737,0.179624,0.195024,0.116882,0.130852,0.082963,0.066524,0.067202,0.175176,0.118632,0.079632,0.087477,0.001386,0.001668,0.002287,0.001566,0.001247,0.000744,0.008606,0.001069,0.000872,0.001679,0.001266,0.001214,0.002058,7
0.190430,0.023190,3.176782,0.190210,0.140757,1.761730,0.000630,0.293333,-23.207291,0.578885,-0.171379,0.483423,0.075511,0.262724,0.181029,0.175193,0.078813,-0.299959,0.184484,-0.147564,-0.341644,0.006458,0.003959,0.007826,0.004582,0.006819,0.003084,0.018833,0.001889,0.002050,0.003229,0.004797,0.002291,0.004796,0.012063,0.003521,0.079875,0.009601,0.005750,0.091273,0.000118,0.012350,0.459596,0.202533,0.183409,0.272031,0.149570,0.169515,0.131217,0.163594,0.083101,0.184897,0.122236,0.116434,0.139172,0.002199,0.001634,0.002160,0.001821,0.003068,0.001391,0.006417,0.001027,0.001030,0.001209,0.001949,0.000952,0.001593,7
0.197161,0.020490,3.231838,0.197615,0.134609,1.785789,0.000588,0.301833,-23.818586,0.481842,-0.039529,0.238670,0.053567,0.093643,0.258129,0.147326,0.091172,-0.108506,0.131851,-0.082111,-0.238048,0.003764,0.003457,0.015605,0.002768,0.005757,0.003421,0.030264,0.001197,0.001196,0.002271,0.003381,0.001795,0.008683,0.004843,0.001484,0.039283,0.003673,0.002080,0.035032,0.000076,0.004539,0.141795,0.098679,0.075397,0.106699,0.081444,0.065651,0.080071,0.065087,0.105495,0.080814,0.080242,0.046286,0.064475,0.000813,0.000591,0.007263,0.000719,0.001075,0.000570,0.004389,0.000427,0.000352,0.000704,0.000777,0.000419,0.001807,7
0.189621,0.024846,3.182871,0.189738,0.140767,1.719851,0.000620,0.288514,-23.101269,0.458637,-0.114490,0.416071,0.079227,0.235278,0.254495,0.203258,0.120547,-0.267502,0.109925,-0.148707,-0.361251,0.005733,0.004025,0.006427,0.003637,0.007374,0.003242,0.017838,0.001745,0.001959,0.003247,0.005710,0.002518,0.004544,0.015177,0.003415,0.074321,0.010889,0.007156,0.090651,0.000106,0.012105,0.426003,0.174156,0.143325,0.224653,0.145461,0.123210,0.107217,0.113474,0.132847,0.213121,0.123923,0.140232,0.127318,0.002099,0.002227,0.002301,0.001824,0.003274,0.001511,0.006908,0.000844,0.001057,0.001501,0.002095,0.001058,0.001691,7
0.192504,0.031745,3.204449,0.192452,0.140337,1.779591,0.000602,0.289250,-22.876757,0.571714,-0.081410,0.438101,0.110610,0.270427,0.242992,0.173824,0.118306,-0.266948,0.079095,-0.165818,-0.316348,0.006025,0.003544,0.007803,0.003145,0.007697,0.003253,0.019546,0.001618,0.001219,0.003763,0.005257,0.002472,0.005142,0.010961,0.003959,0.053045,0.008715,0.006251,0.069432,0.000083,0.007429,0.245977,0.150360,0.153068,0.279170,0.120428,0.128808,0.128062,0.120459,0.112712,0.145915,0.083267,0.131230,0.152135,0.002025,0.001550,0.002746,0.000965,0.003223,0.001063,0.006731,0.000698,0.000590,0.001696,0.001649,0.000941,0.001652,7
0.185132,0.022706,3.206547,0.190325,0.140878,1.774600,0.000627,0.294943,-23.244317,0.532594,-0.105443,0.381536,0.049651,0.281533,0.226184,0.176193,0.064428,-0.180320,0.170604,-0.127744,-0.301887,0.005158,0.003644,0.009941,0.003648,0.007402,0.003705,0.025144,0.001995,0.001988,0.002974,0.004575,0.003188,0.006529,0.012007,0.003625,0.057126,0.008093,0.005242,0.084957,0.000103,0.011052,0.277529,0.181522,0.124415,0.258706,0.139705,0.121710,0.108494,0.125780,0.093881,0.163173,0.109779,0.138686,0.114710,0.002149,0.001352,0.004038,0.001525,0.003290,0.001538,0.014021,0.001112,0.000971,0.001330,0.001848,0.001460,0.003683,7
0.209080,0.025897,3.248788,0.206210,0.143972,1.886816,0.000631,0.303687,-23.560888,0.393000,-0.077627,0.188227,0.128909,0.248048,0.285468,0.206349,0.090309,-0.094895,0.000369,-0.125285,-0.243970,0.003884,0.002337,0.005278,0.002913,0.005518,0.002701,0.013397,0.000978,0.001234,0.002430,0.003912,0.002510,0.003364,0.005296,0.002268,0.034019,0.004460,0.003133,0.044046,0.000075,0.007643,0.117056,0.075377,0.068269,0.110567,0.095068,0.091461,0.061643,0.076847,0.046991,0.066813,0.051530,0.058402,0.050734,0.000858,0.000749,0.001447,0.000936,0.001352,0.000749,0.004160,0.000246,0.000554,0.000772,0.000694,0.000780,0.001049,7
0.188729,0.017414,3.215209,0.193138,0.140803,1.842821,0.000583,0.300247,-23.650926,0.462792,-0.127896,0.343869,0.066334,0.112725,0.258101,0.164505,0.074968,-0.185019,0.014657,-0.166372,-0.231825,0.005144,0.003135,0.007532,0.004005,0.006370,0.003453,0.018018,0.001757,0.001732,0.003308,0.004178,0.002266,0.004534,0.009148,0.002895,0.066959,0.007801,0.003584,0.093018,0.000075,0.010424,0.392820,0.176262,0.151212,0.221966,0.115234,0.123910,0.113948,0.149850,0.130758,0.141820,0.117836,0.160353,0.165479,0.001245,0.000811,0.001946,0.002000,0.001682,0.001281,0.003426,0.000862,0.000987,0.000916,0.002135,0.000911,0.000892,7
0.068574,0.020694,3.097968,0.178365,0.204626,0.583692,0.003191,0.118523,-23.519720,2.690436,-0.064370,0.153517,0.279470,0.075447,-0.296905,-0.176341,-0.215097,-0.048447,0.004549,0.166036,0.060144,0.012096,0.001725,0.031855,0.017207,0.041935,0.023727,0.038661,0.002846,0.008644,0.015212,0.045728,0.002801,0.021127,0.020991,0.004979,0.102823,0.023538,0.012625,0.236496,0.001266,0.070613,0.328348,0.178329,0.159713,0.149385,0.152299,0.145098,0.131526,0.147566,0.146262,0.164402,0.120299,0.167734,0.126253,0.008036,0.000903,0.018223,0.013426,0.026185,0.016393,0.019651,0.002300,0.006298,0.008897,0.020045,0.001974,0.004774,7
0.048440,0.037021,3.118241,0.150467,0.198300,0.298162,0.003893,0.043523,-22.695453,2.790957,-0.098083,0.209163,0.328396,0.118013,-0.285701,-0.091361,-0.270964,-0.085110,0.011286,0.153230,0.050904,0.013638,0.001510,0.044757,0.016281,0.051525,0.022337,0.038648,0.002968,0.007601,0.012897,0.050177,0.002022,0.024130,0.016851,0.008609,0.111264,0.020725,0.013804,0.150354,0.001362,0.027456,0.285107,0.207599,0.148579,0.147961,0.148534,0.164586,0.121370,0.139570,0.138700,0.154445,0.113099,0.152252,0.123301,0.011433,0.000909,0.021058,0.011751,0.029614,0.014621,0.017331,0.002196,0.004792,0.007582,0.027146,0.001504,0.004902,7
0.045616,0.042785,3.141252,0.146896,0.195330,0.289477,0.004152,0.048083,-22.530037,2.692981,-0.018048,0.187464,0.257871,0.163881,-0.322294,-0.110344,-0.274026,-0.075328,0.065020,0.159844,0.036772,0.011501,0.001464,0.044575,0.013130,0.053142,0.025955,0.036640,0.002413,0.007351,0.010259,0.055634,0.002034,0.025661,0.013905,0.011891,0.105768,0.019422,0.013896,0.132768,0.001324,0.033984,0.289271,0.240855,0.160548,0.129287,0.151427,0.178229,0.138417,0.144823,0.151336,0.151867,0.129428,0.134936,0.138638,0.009989,0.000988,0.017228,0.010188,0.034025,0.020298,0.015140,0.002028,0.004331,0.005268,0.032477,0.001409,0.005752,7
0.053136,0.046194,3.185168,0.154798,0.197224,0.358083,0.003470,0.056466,-22.220009,2.521384,-0.092293,0.211738,0.196207,0.145310,-0.236979,-0.129809,-0.165563,-0.079692,0.032526,0.177398,0.038161,0.009468,0.002153,0.042827,0.013278,0.042709,0.032492,0.030960,0.002844,0.008650,0.011715,0.054907,0.002195,0.023863,0.013349,0.013942,0.081386,0.019271,0.012987,0.145508,0.001111,0.035459,0.262727,0.210785,0.154593,0.129160,0.166054,0.180252,0.167551,0.155890,0.157237,0.150606,0.131670,0.125448,0.132772,0.006774,0.001585,0.015340,0.010066,0.029636,0.026530,0.013080,0.002769,0.006058,0.006490,0.027842,0.001521,0.005265,7
0.057328,0.040263,3.203865,0.151206,0.193889,0.361528,0.002793,0.052892,-22.055795,2.298480,-0.375785,0.282198,0.173877,-0.012261,-0.105260,-0.051873,-0.180249,-0.113601,-0.006948,0.184991,0.005759,0.008135,0.003016,0.039783,0.016769,0.029937,0.037989,0.027540,0.003133,0.009672,0.012829,0.043881,0.002656,0.019535,0.009284,0.009854,0.065107,0.014500,0.012020,0.089232,0.000733,0.010233,0.315568,0.219682,0.170708,0.137618,0.167485,0.177988,0.153877,0.153128,0.130803,0.146094,0.146269,0.116840,0.132663,0.005465,0.002316,0.014965,0.009662,0.017831,0.028275,0.011887,0.002968,0.006269,0.007617,0.018780,0.001779,0.004589,7
0.057418,0.040579,3.179185,0.148193,0.192164,0.363189,0.003077,0.052030,-21.962224,2.209690,-0.417756,0.301044,0.176882,-0.033165,-0.139959,-0.028729,-0.295681,-0.158041,-0.091917,0.074255,-0.017429,0.008305,0.002692,0.029063,0.028365,0.026220,0.042836,0.028102,0.003588,0.007306,0.014830,0.040622,0.003331,0.019942,0.008976,0.008372,0.090527,0.014520,0.012346,0.082542,0.000838,0.007833,0.375467,0.219949,0.179408,0.174731,0.174252,0.173004,0.156372,0.131891,0.132479,0.149844,0.161289,0.121425,0.136605,0.005529,0.001843,0.013687,0.018250,0.017770,0.030090,0.014037,0.003169,0.004963,0.008113,0.018916,0.002049,0.005903,7
0.054594,0.034647,3.142754,0.152284,0.200362,0.318834,0.003322,0.043058,-22.462085,2.448740,-0.233024,0.299339,0.255783,0.112929,-0.192871,-0.067718,-0.267937,-0.133130,-0.158001,-0.024766,-0.059138,0.009498,0.002107,0.030172,0.039296,0.025194,0.034733,0.028581,0.004316,0.005331,0.022771,0.055273,0.003143,0.023417,0.010147,0.007757,0.104550,0.012622,0.009100,0.081472,0.001066,0.007345,0.345861,0.180486,0.156108,0.195379,0.163337,0.149421,0.158676,0.127989,0.136282,0.135651,0.159075,0.125024,0.139959,0.005515,0.001534,0.013825,0.025877,0.018608,0.024948,0.017496,0.003393,0.004167,0.009741,0.026160,0.002050,0.005407,7
0.049807,0.042887,3.120548,0.149589,0.202203,0.262947,0.003627,0.035662,-22.392098,2.651916,-0.116403,0.286296,0.280649,0.200149,-0.195570,-0.084266,-0.217768,-0.074796,-0.095528,-0.013380,-0.117011,0.009204,0.001868,0.035691,0.041382,0.030553,0.018971,0.028478,0.005809,0.005883,0.026779,0.066751,0.002951,0.024908,0.010353,0.010676,0.089322,0.013439,0.010791,0.073272,0.001232,0.005143,0.334726,0.175640,0.153129,0.173235,0.145598,0.141587,0.140986,0.134647,0.129404,0.134113,0.161217,0.126963,0.137583,0.005514,0.001533,0.017328,0.026209,0.021562,0.015845,0.017073,0.003884,0.004435,0.010627,0.033330,0.002230,0.005239,7
0.047238,0.042641,3.123587,0.145355,0.199838,0.270151,0.003956,0.036525,-22.440788,2.693597,-0.051207,0.198271,0.190890,0.197361,-0.197334,-0.082410,-0.204001,-0.052214,-0.049315,0.022332,-0.053618,0.008252,0.002324,0.036374,0.033665,0.042848,0.013723,0.033326,0.005784,0.006556,0.019526,0.071672,0.002882,0.026133,0.013582,0.009378,0.082026,0.017037,0.014569,0.105138,0.001345,0.018640,0.292426,0.188224,0.172864,0.156867,0.156768,0.147847,0.137785,0.141606,0.125037,0.140147,0.147073,0.131777,0.127243,0.005973,0.001912,0.018237,0.020780,0.027818,0.011817,0.015063,0.004168,0.004994,0.008463,0.036995,0.002326,0.006091,7
0.052683,0.038826,3.126435,0.156607,0.202153,0.379755,0.003602,0.063328,-22.778605,2.688441,-0.007613,0.147291,0.219473,0.198018,-0.242509,-0.142301,-0.213361,-0.066888,-0.052362,0.032545,0.019571,0.009657,0.002121,0.041555,0.026556,0.048530,0.013641,0.042619,0.004302,0.005189,0.013454,0.072387,0.002318,0.027315,0.018484,0.008089,0.084643,0.023875,0.014880,0.189347,0.001298,0.062613,0.232456,0.194683,0.192838,0.171612,0.167934,0.155339,0.135540,0.148359,0.127554,0.132898,0.125188,0.132100,0.123115,0.007612,0.001726,0.018898,0.017691,0.030697,0.011758,0.017475,0.003155,0.003749,0.006708,0.032332,0.001736,0.005503,7
0.110736,0.036240,3.170802,0.225109,0.221528,1.070862,0.002097,0.280172,-22.342448,2.025576,-0.171146,0.165187,0.285221,0.005071,-0.044227,0.036093,-0.166108,-0.101677,-0.010151,0.025714,0.011893,0.007147,0.002749,0.026467,0.014754,0.027445,0.019826,0.044319,0.003303,0.005408,0.009963,0.055384,0.003416,0.021362,0.017171,0.007150,0.065447,0.013696,0.006373,0.205004,0.000511,0.058701,0.292988,0.149891,0.213719,0.149411,0.153238,0.149026,0.135039,0.134199,0.140833,0.144491,0.131957,0.123024,0.132201,0.004959,0.001785,0.013195,0.007996,0.015956,0.015868,0.025540,0.002373,0.003209,0.006362,0.030494,0.001921,0.006374,7
0.055501,0.035237,3.167117,0.171396,0.205661,0.423013,0.003640,0.068013,-23.246467,2.218448,-0.010507,0.201660,0.243061,-0.012927,-0.151268,-0.032173,-0.150830,-0.053214,0.033375,0.141392,0.083006,0.004652,0.001797,0.045036,0.014516,0.024813,0.023363,0.067290,0.002548,0.004839,0.007765,0.096901,0.002353,0.039568,0.015706,0.016715,0.075582,0.026037,0.014085,0.189105,0.001663,0.061968,0.412114,0.264112,0.254469,0.206132,0.143278,0.192298,0.171158,0.153887,0.167707,0.134797,0.143085,0.167707,0.164199,0.003448,0.001288,0.029990,0.010830,0.017337,0.017414,0.048003,0.004244,0.004653,0.005244,0.043855,0.002178,0.014673,7
0.046098,0.032558,3.101951,0.123805,0.173314,0.306510,0.004188,0.052666,-22.554238,2.019391,-0.285174,0.161657,0.038579,-0.227520,-0.307115,-0.119778,-0.434522,-0.423270,-0.158732,0.189507,-0.090430,0.015633,0.001897,0.045318,0.031131,0.022740,0.052067,0.036263,0.003382,0.008324,0.006714,0.016529,0.003262,0.022524,0.010127,0.010905,0.113525,0.018867,0.019303,0.098143,0.001416,0.012094,0.554909,0.241805,0.183492,0.178231,0.169115,0.151799,0.176802,0.141136,0.139044,0.163540,0.148585,0.142702,0.136632,0.010275,0.001261,0.021677,0.017332,0.015212,0.034263,0.019046,0.003216,0.005591,0.003645,0.011009,0.001847,0.005605,7
0.048616,0.022263,3.096108,0.144107,0.192458,0.301227,0.004288,0.044170,-23.655207,2.522574,-0.211549,0.195647,0.032766,-0.229368,-0.284588,-0.073420,-0.339250,-0.376993,-0.187714,0.186732,0.010849,0.015321,0.001841,0.057052,0.035681,0.021431,0.050897,0.048735,0.002121,0.006942,0.007658,0.023529,0.002769,0.026406,0.012525,0.007377,0.104965,0.018165,0.013150,0.119760,0.001510,0.016824,0.455863,0.226721,0.185471,0.184071,0.151707,0.143368,0.164640,0.129618,0.136712,0.129338,0.154240,0.137844,0.141654,0.011286,0.001227,0.028151,0.022908,0.016095,0.032207,0.027022,0.002068,0.005993,0.004623,0.015364,0.001882,0.005204,7
0.037818,0.048354,3.143767,0.124112,0.183478,0.168279,0.004789,0.036842,-22.253067,2.701875,-0.413660,0.108466,0.033684,-0.142946,-0.331667,-0.064610,-0.237113,-0.322065,-0.163157,0.058066,0.068096,0.011333,0.003321,0.024775,0.029334,0.061302,0.040613,0.023794,0.001664,0.005803,0.009977,0.031221,0.003209,0.025756,0.007591,0.014925,0.082938,0.013313,0.012910,0.055337,0.001899,0.006003,0.401439,0.198347,0.153982,0.156736,0.152813,0.153484,0.157867,0.166598,0.131697,0.153401,0.140011,0.129574,0.140742,0.006742,0.002308,0.016319,0.022940,0.044616,0.032320,0.013632,0.001128,0.004204,0.005706,0.016689,0.002355,0.008785,7
0.038016,0.053300,3.146821,0.128503,0.188124,0.169988,0.005087,0.034528,-22.358147,2.790901,-0.444098,0.057379,0.224251,-0.094803,-0.287326,-0.112165,-0.336552,-0.364698,-0.076802,0.098583,0.047923,0.009607,0.003196,0.024633,0.025008,0.083708,0.033856,0.032590,0.002731,0.006313,0.007712,0.029099,0.002214,0.030844,0.009040,0.018851,0.064388,0.011909,0.011753,0.057133,0.002609,0.006167,0.335163,0.152083,0.156892,0.173675,0.151050,0.161775,0.157462,0.150957,0.150327,0.159860,0.141582,0.138595,0.137342,0.007111,0.002509,0.016930,0.022044,0.063210,0.026495,0.019094,0.002582,0.005650,0.003906,0.016602,0.001767,0.011286,7
0.045650,0.023007,3.165986,0.115530,0.165215,0.237831,0.004183,0.052257,-22.753151,1.896045,-0.849516,0.154742,0.198417,-0.171631,-0.305863,-0.052070,-0.410493,-0.230080,0.076172,0.251071,-0.004447,0.006952,0.004446,0.015853,0.020399,0.033936,0.022925,0.033401,0.003045,0.013376,0.009467,0.030199,0.003754,0.016711,0.006132,0.010265,0.072650,0.013369,0.016794,0.051244,0.001100,0.004733,0.585262,0.260449,0.205066,0.184379,0.157680,0.163243,0.194022,0.167212,0.147710,0.134327,0.132878,0.150051,0.133840,0.005609,0.003391,0.007898,0.012812,0.027301,0.016300,0.014576,0.002544,0.009775,0.006873,0.018357,0.002289,0.005457,7
0.043069,0.019520,3.127844,0.130461,0.184000,0.205964,0.004652,0.040858,-23.674201,2.383540,-0.509275,0.289797,0.218083,-0.154875,-0.362881,-0.173364,-0.384791,-0.265107,0.050412,0.194618,-0.006592,0.010536,0.002825,0.017538,0.029242,0.060689,0.022444,0.040559,0.002930,0.011492,0.008506,0.036417,0.003277,0.024271,0.007727,0.006745,0.099038,0.014096,0.014831,0.048695,0.001335,0.006160,0.534006,0.247260,0.175289,0.179899,0.154820,0.170378,0.160530,0.139172,0.138628,0.136338,0.132731,0.131356,0.141887,0.008035,0.001923,0.008836,0.022457,0.041054,0.016046,0.022313,0.002353,0.008914,0.005093,0.019940,0.002361,0.007633,7
0.048571,0.038239,3.115181,0.145398,0.198568,0.258678,0.004851,0.037080,-22.963463,2.806743,-0.363630,0.107844,0.295288,-0.054880,-0.250490,-0.173184,-0.398468,-0.335448,-0.001495,0.171356,0.068409,0.009672,0.002609,0.022641,0.031686,0.074418,0.030822,0.047069,0.004430,0.006157,0.007608,0.033326,0.001697,0.030368,0.014195,0.019529,0.089370,0.014790,0.010667,0.105757,0.002157,0.014060,0.380247,0.167278,0.170067,0.183505,0.179820,0.182009,0.145741,0.137767,0.171487,0.171275,0.138285,0.130495,0.121064,0.008495,0.002152,0.014600,0.025419,0.055842,0.022236,0.028827,0.003852,0.005373,0.004080,0.021754,0.001246,0.009157,7
0.051503,0.017862,3.091295,0.141742,0.192529,0.282737,0.004354,0.046019,-23.725064,2.636708,-0.449603,0.100581,0.217616,-0.126394,-0.295055,-0.174984,-0.419023,-0.328213,0.027360,0.268651,0.085344,0.009013,0.002870,0.021065,0.025779,0.055742,0.040729,0.042398,0.004632,0.010493,0.007544,0.032334,0.002044,0.024953,0.014230,0.009228,0.148153,0.018275,0.012935,0.131943,0.001353,0.026569,0.566173,0.218331,0.171637,0.175132,0.207615,0.176184,0.141743,0.133985,0.166589,0.151022,0.140796,0.130357,0.112096,0.006617,0.002134,0.013232,0.019225,0.039591,0.027132,0.025685,0.003522,0.007613,0.004294,0.020720,0.001477,0.006806,7
0.048151,0.019540,3.093402,0.137329,0.187186,0.274821,0.004358,0.051078,-23.484826,2.522925,-0.539171,0.100148,0.245555,-0.152444,-0.346593,-0.180752,-0.406116,-0.321996,0.038041,0.217284,0.038497,0.011412,0.003485,0.019213,0.022845,0.056157,0.041857,0.035977,0.004547,0.012050,0.007108,0.028642,0.002523,0.023113,0.013770,0.009039,0.141154,0.024770,0.016261,0.155934,0.001683,0.034427,0.629482,0.248686,0.194780,0.162539,0.180091,0.178583,0.170892,0.145856,0.144336,0.156400,0.150838,0.138436,0.134096,0.007662,0.002790,0.011894,0.015381,0.040955,0.026793,0.018111,0.003484,0.008427,0.004411,0.020488,0.001724,0.007828,7
0.047193,0.030014,3.086695,0.136987,0.185440,0.278488,0.004477,0.047913,-22.860651,2.380984,-0.483458,0.140322,0.249740,-0.178731,-0.407604,-0.262748,-0.343607,-0.281260,0.034936,0.199175,0.044742,0.012540,0.003238,0.015759,0.023150,0.059074,0.048554,0.032395,0.004910,0.009620,0.007042,0.026240,0.002577,0.024049,0.011234,0.012543,0.108577,0.022505,0.016909,0.126084,0.001796,0.022018,0.652882,0.271617,0.188856,0.169081,0.157999,0.183413,0.180067,0.136769,0.132030,0.161911,0.131729,0.129948,0.133926,0.008113,0.002587,0.009631,0.016737,0.040906,0.031163,0.016647,0.003630,0.005926,0.004738,0.018096,0.001711,0.007753,7
